experiment_name,dgp,seed,n_train,variation,rmse_credible,coverage_credible,gr_rmse_credible,ess_rmse_credible,rmse_predictive,coverage_predictive,gr_rmse_predictive,ess_rmse_predictive,rmse_pred_vs_true,coverage_pred_vs_true,gr_rmse_pred_vs_true,ess_rmse_pred_vs_true
Burn-in,1199_BNG_echoMonths,23,200,nskip_5000,12.192591204036482,0.5982142857142857,1.0000866402856212,36995.07992155421,12.192346478839543,0.9111428571428571,1.0000309602066098,39788.20015346985,12.192346478839543,0.9111428571428571,1.0000309602066098,39788.20015346985
Burn-in,1199_BNG_echoMonths,24,200,nskip_5000,11.909407994409918,0.5985714285714285,1.000066432867628,49022.718647325266,11.907899895695305,0.9636428571428571,1.0000257607632448,48388.35664243348,11.907899895695305,0.9636428571428571,1.0000257607632448,48388.35664243348
Burn-in,1199_BNG_echoMonths,25,200,nskip_5000,12.258520838513448,0.5782857142857143,0.9999870154682416,42016.25775535444,12.25830003509397,0.9216428571428572,0.9999959304832559,45112.197987830514,12.25830003509397,0.9216428571428572,0.9999959304832559,45112.197987830514
Burn-in,1199_BNG_echoMonths,1,500,nskip_10000,11.667004158325796,0.5200714285714285,1.0001372500406889,21413.953383193482,11.668015032347764,0.9434285714285714,1.0001446487139545,44814.91521037504,11.668015032347764,0.9434285714285714,1.0001446487139545,44814.91521037504
Burn-in,1199_BNG_echoMonths,2,500,nskip_10000,12.032357143684358,0.5396428571428571,1.0001969544171412,22510.9929440827,12.033864888420144,0.9227142857142856,1.000054416791784,45186.40276585808,12.033864888420144,0.9227142857142856,1.000054416791784,45186.40276585808
Burn-in,1199_BNG_echoMonths,3,500,nskip_10000,12.03877391670894,0.49450000000000005,1.0000777943977848,30708.174043280655,12.040721553064174,0.9482857142857143,1.0000367642011343,53303.09379075623,12.040721553064174,0.9482857142857143,1.0000367642011343,53303.09379075623
Burn-in,1199_BNG_echoMonths,4,500,nskip_10000,12.061505829714976,0.5354285714285715,1.0000734741243218,22886.60794908843,12.063006184913004,0.9482142857142857,0.9999969575750953,44610.57258113359,12.063006184913004,0.9482142857142857,0.9999969575750953,44610.57258113359
Burn-in,1199_BNG_echoMonths,5,500,nskip_10000,11.706342606408366,0.5275714285714286,1.0000387849649903,28767.803168561637,11.707093132045486,0.9594285714285714,1.0000232136855645,51548.04690650332,11.707093132045486,0.9594285714285714,1.0000232136855645,51548.04690650332
Burn-in,1199_BNG_echoMonths,6,500,nskip_10000,12.196083295080687,0.5466428571428572,1.0002787028203541,23383.336622106086,12.197037205869885,0.9486428571428571,0.9999716133212764,46817.18619545821,12.197037205869885,0.9486428571428571,0.9999716133212764,46817.18619545821
Burn-in,1199_BNG_echoMonths,7,500,nskip_10000,11.859311434484152,0.5032857142857143,1.0001377831414855,21474.301618397873,11.859791641388732,0.9279999999999999,0.9999897978497978,51713.31085197388,11.859791641388732,0.9279999999999999,0.9999897978497978,51713.31085197388
Burn-in,1199_BNG_echoMonths,8,500,nskip_10000,12.115243372544162,0.5149285714285714,1.0002357454997077,22768.492650997796,12.115489583642965,0.9402857142857142,0.9999823933823575,49048.80157402903,12.115489583642965,0.9402857142857142,0.9999823933823575,49048.80157402903
Burn-in,1199_BNG_echoMonths,9,500,nskip_10000,11.853400768525766,0.5658571428571428,1.0000553304198194,22258.277910652523,11.855517298902205,0.9628571428571429,1.0000940900725652,43596.90225430738,11.855517298902205,0.9628571428571429,1.0000940900725652,43596.90225430738
Burn-in,1199_BNG_echoMonths,10,500,nskip_10000,12.021385727221077,0.5159285714285714,1.0001930032755182,21774.232004537072,12.02173906318787,0.9400714285714286,1.0000193946359384,44917.6487763551,12.02173906318787,0.9400714285714286,1.0000193946359384,44917.6487763551
Burn-in,1199_BNG_echoMonths,11,500,nskip_10000,12.291023649013283,0.5134285714285713,0.999995383614973,30576.439605236283,12.291904610966565,0.9415,1.000028140638777,51965.77654881128,12.291904610966565,0.9415,1.000028140638777,51965.77654881128
Burn-in,1199_BNG_echoMonths,12,500,nskip_10000,11.893444081793223,0.536,1.0001544669254752,25735.961895152446,11.893215351871783,0.9537857142857143,1.0000348298037824,50867.082245205704,11.893215351871783,0.9537857142857143,1.0000348298037824,50867.082245205704
Burn-in,1199_BNG_echoMonths,13,500,nskip_10000,12.095422832797347,0.5177857142857143,1.0001987748638097,24409.043921580993,12.095789494557012,0.9549285714285713,0.9999980713354588,48654.99718782149,12.095789494557012,0.9549285714285713,0.9999980713354588,48654.99718782149
Burn-in,1199_BNG_echoMonths,14,500,nskip_10000,11.935133849386393,0.5395,1.0003115871957386,26747.526960929637,11.93571799924909,0.9655,1.000100895426588,48930.10386444495,11.93571799924909,0.9655,1.000100895426588,48930.10386444495
Burn-in,1199_BNG_echoMonths,15,500,nskip_10000,11.818638676476183,0.5489285714285714,1.000089171559544,21758.21727411315,11.820048314177097,0.9587142857142856,1.000037892567577,50407.45663267274,11.820048314177097,0.9587142857142856,1.000037892567577,50407.45663267274
Burn-in,1199_BNG_echoMonths,16,500,nskip_10000,11.60297415004873,0.5597857142857143,1.0001734259160913,22086.69247526457,11.604489366066364,0.9499285714285715,1.0000087430428808,46142.97326431569,11.604489366066364,0.9499285714285715,1.0000087430428808,46142.97326431569
Burn-in,1199_BNG_echoMonths,17,500,nskip_10000,12.047565686252799,0.5255,1.0001527509842247,20070.82981797376,12.047424700206136,0.9289285714285714,0.9999694514662644,44946.845149432935,12.047424700206136,0.9289285714285714,0.9999694514662644,44946.845149432935
Burn-in,1199_BNG_echoMonths,18,500,nskip_10000,11.951964168284164,0.5458571428571428,1.0002705570448722,26233.579125418015,11.95139865518161,0.9545714285714285,1.0000046805046405,50524.29192520791,11.95139865518161,0.9545714285714285,1.0000046805046405,50524.29192520791
Burn-in,1199_BNG_echoMonths,19,500,nskip_10000,12.0110770932531,0.5153571428571428,1.0000911813458695,24441.439681115953,12.012873174962024,0.9331428571428573,1.000051036926283,46284.9611279906,12.012873174962024,0.9331428571428573,1.000051036926283,46284.9611279906
Burn-in,1199_BNG_echoMonths,20,500,nskip_10000,11.758145231688472,0.5315714285714286,0.9999953461102126,24818.13635797003,11.75911406732941,0.9318571428571428,1.0001044682593485,47559.64090407769,11.75911406732941,0.9318571428571428,1.0001044682593485,47559.64090407769
Burn-in,1199_BNG_echoMonths,21,500,nskip_10000,12.025966362822796,0.49842857142857144,1.0000301309817534,23883.552210165522,12.026323970022005,0.9213571428571428,0.9999915949652642,48926.073121178975,12.026323970022005,0.9213571428571428,0.9999915949652642,48926.073121178975
Burn-in,1199_BNG_echoMonths,22,500,nskip_10000,11.92207416559654,0.526357142857143,1.0001101517794504,27055.334721201652,11.920496864155096,0.9487857142857143,1.0000220803831985,56011.836372989914,11.920496864155096,0.9487857142857143,1.0000220803831985,56011.836372989914
Burn-in,1199_BNG_echoMonths,23,500,nskip_10000,11.813931157611828,0.5197142857142857,1.0001309974057282,26471.138310916427,11.814176853425419,0.9632857142857143,1.0000203862427017,47792.22504318705,11.814176853425419,0.9632857142857143,1.0000203862427017,47792.22504318705
Burn-in,1199_BNG_echoMonths,24,500,nskip_10000,11.946475771617152,0.5602857142857143,1.00017155034032,19618.607788749072,11.946540533923402,0.9524285714285714,1.000054784943656,43443.268813416056,11.946540533923402,0.9524285714285714,1.000054784943656,43443.268813416056
Burn-in,1199_BNG_echoMonths,25,500,nskip_10000,11.778557814259138,0.5442857142857143,1.0000024381319041,29869.693515416806,11.778482328776747,0.96,0.9999892082112133,50901.713636979206,11.778482328776747,0.96,0.9999892082112133,50901.713636979206
Burn-in,1199_BNG_echoMonths,1,500,nskip_5000,11.667783567407561,0.5193571428571429,1.0000329609652794,20206.763396939208,11.668823029392254,0.9435,1.0000732559096253,42793.765440613635,11.668823029392254,0.9435,1.0000732559096253,42793.765440613635
Burn-in,1199_BNG_echoMonths,2,500,nskip_5000,12.030480647898871,0.5395000000000001,1.0001568444344715,21103.360210773226,12.03088406595263,0.9229285714285715,1.0000889918493012,43842.83953877129,12.03088406595263,0.9229285714285715,1.0000889918493012,43842.83953877129
Burn-in,1199_BNG_echoMonths,3,500,nskip_5000,12.038257951696322,0.494,1.0001053385196794,28227.27520597102,12.03772365335658,0.9479285714285715,1.000019556780364,51790.209617972,12.03772365335658,0.9479285714285715,1.000019556780364,51790.209617972
Burn-in,1199_BNG_echoMonths,4,500,nskip_5000,12.061584871948114,0.534,1.0001186438926533,25905.18207235814,12.061824183251652,0.9488571428571428,1.0000593879586919,45770.14229598113,12.061824183251652,0.9488571428571428,1.0000593879586919,45770.14229598113
Burn-in,1199_BNG_echoMonths,5,500,nskip_5000,11.707274563038506,0.5267142857142857,1.0000764235093025,27251.135976943566,11.708686833239097,0.9586428571428571,1.0000702215899138,50620.53071360722,11.708686833239097,0.9586428571428571,1.0000702215899138,50620.53071360722
Burn-in,1199_BNG_echoMonths,6,500,nskip_5000,12.196303657100376,0.5469999999999999,1.000180336856983,23734.873279966778,12.195092501877152,0.9480714285714286,1.000033360364872,49471.18986227788,12.195092501877152,0.9480714285714286,1.000033360364872,49471.18986227788
Burn-in,1199_BNG_echoMonths,7,500,nskip_5000,11.859267945578699,0.5032857142857143,1.000386598982029,21902.601749470345,11.859818451101765,0.9272857142857143,1.0000571438012649,50699.53380907222,11.859818451101765,0.9272857142857143,1.0000571438012649,50699.53380907222
Burn-in,1199_BNG_echoMonths,8,500,nskip_5000,12.114208166425634,0.5147857142857142,1.0000479971934282,23481.767881121286,12.115097284770098,0.9405,1.0000872223710506,50133.80427780568,12.115097284770098,0.9405,1.0000872223710506,50133.80427780568
Burn-in,1199_BNG_echoMonths,9,500,nskip_5000,11.854075965957573,0.5669285714285714,1.000173533570752,21626.160731961194,11.855080199835077,0.9635,1.000014719969727,45173.718799159695,11.855080199835077,0.9635,1.000014719969727,45173.718799159695
Burn-in,1199_BNG_echoMonths,10,500,nskip_5000,12.020929515567197,0.5154285714285715,1.000019116136156,20996.952373571487,12.019774345454564,0.9405,1.0000710483655009,44319.722452472546,12.019774345454564,0.9405,1.0000710483655009,44319.722452472546
Burn-in,1199_BNG_echoMonths,11,500,nskip_5000,12.291752620289138,0.5145714285714286,1.0000905100969268,30711.263111462707,12.292728184692077,0.9401428571428572,0.9999925774086236,54091.39429903059,12.292728184692077,0.9401428571428572,0.9999925774086236,54091.39429903059
Burn-in,1199_BNG_echoMonths,12,500,nskip_5000,11.893780102884154,0.5369285714285714,1.000169475493064,25712.011923644008,11.893575193915051,0.9540714285714286,0.9999804148332281,49343.90843929839,11.893575193915051,0.9540714285714286,0.9999804148332281,49343.90843929839
Burn-in,1199_BNG_echoMonths,13,500,nskip_5000,12.09621465563829,0.518,1.0001899987103156,24327.96286375112,12.098631242003332,0.9550714285714286,1.000082219741507,51585.037534789626,12.098631242003332,0.9550714285714286,1.000082219741507,51585.037534789626
Burn-in,1199_BNG_echoMonths,14,500,nskip_5000,11.936030274791575,0.5382142857142858,1.0003014351064512,27607.12315354856,11.936614614842487,0.965,1.0000481669102583,49597.75098139997,11.936614614842487,0.965,1.0000481669102583,49597.75098139997
Burn-in,1199_BNG_echoMonths,15,500,nskip_5000,11.819098082091841,0.5489285714285714,1.0001086886422508,22219.876759065522,11.818406564839691,0.9586428571428571,0.999998473883736,49223.775566317636,11.818406564839691,0.9586428571428571,0.999998473883736,49223.775566317636
Burn-in,1199_BNG_echoMonths,16,500,nskip_5000,11.603622362176079,0.5594285714285714,1.000306886806462,23308.411101048878,11.605407167185607,0.9502857142857143,1.0000014299363769,48258.36274693542,11.605407167185607,0.9502857142857143,1.0000014299363769,48258.36274693542
Burn-in,1199_BNG_echoMonths,17,500,nskip_5000,12.046910793364358,0.5257857142857143,1.0001222677006403,19080.445385911076,12.049213145595735,0.9292857142857143,0.9999775767988409,44856.86766413791,12.049213145595735,0.9292857142857143,0.9999775767988409,44856.86766413791
Burn-in,1199_BNG_echoMonths,18,500,nskip_5000,11.952158528534296,0.5462142857142858,1.0000912948550884,28143.20192344788,11.953020206360293,0.9545714285714286,1.0000808482365788,52525.30759375242,11.953020206360293,0.9545714285714286,1.0000808482365788,52525.30759375242
Burn-in,1199_BNG_echoMonths,19,500,nskip_5000,12.011832126820682,0.5157142857142858,1.0000340708915525,23826.030386185284,12.010706494502433,0.9337142857142857,1.0000691107157862,48159.06708597299,12.010706494502433,0.9337142857142857,1.0000691107157862,48159.06708597299
Burn-in,1199_BNG_echoMonths,20,500,nskip_5000,11.759015906955197,0.5313571428571429,1.0001352030916433,24335.28506963358,11.757993608914713,0.9319999999999999,1.000077639122238,48037.32445786019,11.757993608914713,0.9319999999999999,1.000077639122238,48037.32445786019
Burn-in,1199_BNG_echoMonths,21,500,nskip_5000,12.0262079162617,0.49757142857142855,1.0000066317034897,22769.20868481104,12.027130297945057,0.9216428571428572,1.0000210847732869,50153.52010120395,12.027130297945057,0.9216428571428572,1.0000210847732869,50153.52010120395
Burn-in,1199_BNG_echoMonths,22,500,nskip_5000,11.92126039131604,0.527,1.0000322872218348,28197.587964294024,11.92040871327836,0.9485,0.9999901684054497,54401.48581769363,11.92040871327836,0.9485,0.9999901684054497,54401.48581769363
Burn-in,1199_BNG_echoMonths,23,500,nskip_5000,11.81372683611212,0.5190714285714286,1.0000699066758638,25432.66138123987,11.811660483529167,0.9630000000000001,1.0000170481052766,48962.69710868628,11.811660483529167,0.9630000000000001,1.0000170481052766,48962.69710868628
Burn-in,1199_BNG_echoMonths,24,500,nskip_5000,11.946722129643295,0.56,1.000101479552531,21665.490965858968,11.946033370094575,0.9521428571428572,1.0000165124908076,44776.325806079476,11.946033370094575,0.9521428571428572,1.0000165124908076,44776.325806079476
Burn-in,1199_BNG_echoMonths,25,500,nskip_5000,11.778245796403347,0.5435,1.0000483860014082,29406.26067683333,11.778731531982356,0.9599285714285715,1.0000063676362996,51161.92998844647,11.778731531982356,0.9599285714285715,1.0000063676362996,51161.92998844647
Burn-in,1199_BNG_echoMonths,1,1000,nskip_10000,11.705929246431442,0.46299999999999997,1.0005459417496598,9958.676761225883,11.707027422434008,0.9402857142857143,0.9999992509316428,50721.23524368636,11.707027422434008,0.9402857142857143,0.9999992509316428,50721.23524368636
Burn-in,1199_BNG_echoMonths,2,1000,nskip_10000,11.852907345168408,0.46785714285714286,1.0008083074119403,9037.931379087888,11.855297810356756,0.9366428571428571,1.000100021328288,39615.4875476116,11.855297810356756,0.9366428571428571,1.000100021328288,39615.4875476116
Burn-in,1199_BNG_echoMonths,3,1000,nskip_10000,11.884552402187062,0.4484285714285714,1.0002680126688293,12368.249381348787,11.884643920656426,0.9461428571428572,1.0000189271893551,45113.33365022343,11.884643920656426,0.9461428571428572,1.0000189271893551,45113.33365022343
Burn-in,1199_BNG_echoMonths,4,1000,nskip_10000,12.023929627401994,0.4804285714285714,1.0002666226598629,11099.143293807292,12.024050425803235,0.9460714285714286,1.000061721648141,44623.10780297016,12.024050425803235,0.9460714285714286,1.000061721648141,44623.10780297016
Burn-in,1199_BNG_echoMonths,5,1000,nskip_10000,11.434927693556514,0.516,1.000266460863285,10702.143408647979,11.436306752546779,0.9564285714285714,1.0000772114272156,43598.47124757369,11.436306752546779,0.9564285714285714,1.0000772114272156,43598.47124757369
Burn-in,1199_BNG_echoMonths,6,1000,nskip_10000,12.084382882514497,0.4767857142857143,1.000326226683156,10155.304219411131,12.084916693416458,0.9297142857142857,0.999986177310564,40072.10480456815,12.084916693416458,0.9297142857142857,0.999986177310564,40072.10480456815
